ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,WEEKDAY
6F1682AC40EB6F71,electric_bike,5/6/2023 13:34:12,5/6/2023 14:31:56,,,,,41.9100,-87.6900,41.9100,-87.7000,member,0:57:44,2
622A1686D64948EB,electric_bike,5/6/2023 1:30:22,5/6/2023 1:33:06,,,,,41.9400,-87.6500,41.9400,-87.6500,member,0:02:44,2
3C88859D926253B4,electric_bike,20/6/2023 18:15:49,20/6/2023 18:32:05,,,,,41.9500,-87.6800,41.9200,-87.6300,member,0:16:16,3
EAD8A5E0259DEC88,electric_bike,19/6/2023 14:56:00,19/6/2023 15:00:35,,,,,41.9900,-87.6500,41.9800,-87.6600,member,0:04:35,2
5A36F21930D6A55C,electric_bike,19/6/2023 15:03:34,19/6/2023 15:07:16,,,,,41.9800,-87.6600,41.9900,-87.6500,member,0:03:42,2
CF682EA7D0F961DB,electric_bike,9/6/2023 21:30:25,9/6/2023 21:49:52,,,,,41.9900,-87.6800,41.9400,-87.6500,member,0:19:27,6
4910FBB710157754,electric_bike,3/6/2023 13:34:09,3/6/2023 13:34:28,,,,,41.8800,-87.6200,41.8800,-87.6200,member,0:00:19,7
EA19D850A42F56D8,electric_bike,3/6/2023 13:34:46,3/6/2023 13:35:00,,,,,41.8800,-87.6200,41.8800,-87.6200,member,0:00:14,7
E68F43784662A2D0,electric_bike,2/6/2023 22:27:35,2/6/2023 22:35:26,,,,,41.9500,-87.6400,41.9500,-87.6500,member,0:07:51,6
5A013E29CC001611,electric_bike,2/6/2023 21:18:31,3/6/2023 1:27:19,,,,,41.8700,-87.6300,41.8900,-87.6300,member,4:08:48,6
4F90CD311BEFEE10,electric_bike,23/6/2023 17:26:02,23/6/2023 17:31:08,,,,,41.9300,-87.6300,41.9400,-87.6400,member,0:05:06,6
37A429F1BF359220,electric_bike,23/6/2023 15:37:49,23/6/2023 16:02:04,,,,,41.8900,-87.6600,41.9300,-87.6300,member,0:24:15,6
ABF4F851DE485B76,electric_bike,30/6/2023 18:56:13,30/6/2023 19:30:40,,,,,41.9600,-87.6600,41.8800,-87.6500,member,0:34:27,6
5D351FDB750E3CFB,electric_bike,2/6/2023 16:24:02,2/6/2023 16:38:43,,,,,41.8500,-87.6200,41.8600,-87.6200,member,0:14:41,6
8FF8A97580847907,electric_bike,2/6/2023 12:03:13,2/6/2023 12:11:01,,,,,41.9800,-87.6700,41.9900,-87.6700,member,0:07:48,6
F123B5D34B002CDB,electric_bike,30/6/2023 6:12:31,30/6/2023 6:23:05,,,,,41.9000,-87.6800,41.9300,-87.6800,member,0:10:34,6
CA8E2C38AF641DFB,electric_bike,30/6/2023 8:28:51,30/6/2023 8:37:45,,,,,41.9300,-87.6800,41.9000,-87.6800,member,0:08:54,6
93CCE4EA48CFDB69,electric_bike,30/6/2023 9:09:24,30/6/2023 9:17:41,,,,,41.9300,-87.6400,41.9200,-87.6500,member,0:08:17,6
FDBCEFE7890F7262,electric_bike,30/6/2023 16:29:48,30/6/2023 16:38:51,,,,,41.9500,-87.6600,41.9300,-87.6500,member,0:09:03,6
F119ACADE5F89EAB,electric_bike,30/6/2023 13:55:44,30/6/2023 14:06:13,,,,,41.9300,-87.6500,41.9500,-87.6600,member,0:10:29,6
411EB7D2FE4B54A8,electric_bike,29/6/2023 21:02:14,29/6/2023 21:04:55,,,,,41.9200,-87.6400,41.9100,-87.6300,member,0:02:41,5
44A924DF9891C03F,electric_bike,18/6/2023 14:46:23,18/6/2023 15:22:07,,,,,41.8000,-87.5900,41.8700,-87.6200,member,0:35:44,1
F78EDCE3544408F9,electric_bike,6/6/2023 16:52:20,6/6/2023 17:03:57,,,,,41.8800,-87.6500,41.9000,-87.6300,member,0:11:37,3
8CE03F2158127D8E,electric_bike,6/6/2023 6:42:55,6/6/2023 6:46:16,,,,,41.8700,-87.6600,41.8700,-87.6700,member,0:03:21,3
DDA217272F2379E3,electric_bike,21/6/2023 18:08:03,21/6/2023 18:12:38,,,,,41.9500,-87.6600,41.9400,-87.6500,member,0:04:35,4
9DF626744417CB49,electric_bike,24/6/2023 9:54:23,24/6/2023 10:05:31,,,,,41.9400,-87.7100,41.9500,-87.6800,member,0:11:08,7
